,Unnamed: 0,time,lat,lon,spei
33279,187770,1901-01-16,40.25,105.25,0.60783064
99604,446970,1901-02-15,40.25,105.25,0.32838735
165896,706170,1901-03-16,40.25,105.25,0.22099538
232247,965370,1901-04-16,40.25,105.25,0.31112593
298676,1224570,1901-05-16,40.25,105.25,0.1395504
365098,1483770,1901-06-16,40.25,105.25,0.08358316
431503,1742970,1901-07-16,40.25,105.25,0.16371162
497959,2002170,1901-08-16,40.25,105.25,0.1010833
564397,2261370,1901-09-16,40.25,105.25,-0.060934734
630830,2520570,1901-10-16,40.25,105.25,0.31105426
697258,2779770,1901-11-16,40.25,105.25,0.5789297
763661,3038970,1901-12-16,40.25,105.25,1.0692378
829970,3298170,1902-01-16,40.25,105.25,0.60783064
896295,3557370,1902-02-15,40.25,105.25,-0.31788698
962587,3816570,1902-03-16,40.25,105.25,0.28094673
1028938,4075770,1902-04-16,40.25,105.25,0.33288613
1095367,4334970,1902-05-16,40.25,105.25,0.1395504
1161789,4594170,1902-06-16,40.25,105.25,0.08358316
1228211,4853370,1902-07-16,40.25,105.25,0.16371162
1294666,5112570,1902-08-16,40.25,105.25,0.10673819
1361104,5371770,1902-09-16,40.25,105.25,-0.049972296
1427537,5630970,1902-10-16,40.25,105.25,0.31105426
1493965,5890170,1902-11-16,40.25,105.25,0.5789297
1560369,6149370,1902-12-16,40.25,105.25,0.019844448
1626678,6408570,1903-01-16,40.25,105.25,0.60783064
1693003,6667770,1903-02-15,40.25,105.25,0.32838735
1759295,6926970,1903-03-16,40.25,105.25,0.28094673
1825646,7186170,1903-04-16,40.25,105.25,0.31112593
1892075,7445370,1903-05-16,40.25,105.25,0.1395504
1958497,7704570,1903-06-16,40.25,105.25,0.08358316
2024931,7963770,1903-07-16,40.25,105.25,0.16371162
2091385,8222970,1903-08-16,40.25,105.25,0.1010833
2157823,8482170,1903-09-16,40.25,105.25,-0.049972296
2224256,8741370,1903-10-16,40.25,105.25,0.31105426
2290684,9000570,1903-11-16,40.25,105.25,0.5789297
2357088,9259770,1903-12-16,40.25,105.25,0.019844448
2423396,9518970,1904-01-16,40.25,105.25,0.60783064
2489721,9778170,1904-02-15,40.25,105.25,0.32838735
2556013,10037370,1904-03-16,40.25,105.25,0.28094673
2622364,10296570,1904-04-16,40.25,105.25,0.33288613
2688793,10555770,1904-05-16,40.25,105.25,0.1395504
2755213,10814970,1904-06-16,40.25,105.25,0.06784786
2821646,11074170,1904-07-16,40.25,105.25,0.15686606
2888102,11333370,1904-08-16,40.25,105.25,0.1010833
2954538,11592570,1904-09-16,40.25,105.25,-0.049972296
3020970,11851770,1904-10-16,40.25,105.25,0.31105426
3087394,12110970,1904-11-16,40.25,105.25,0.52804136
3153798,12370170,1904-12-16,40.25,105.25,0.019844448
